id_puesto,municipio,zona,num_puesto,nombre_puesto,votos_camilo,votos_sanchez,votos_nanclares,votos_carvalho_2022,votos_hoyos,votos_zuluaga,votos_creemos,votos_pacto,votos_cd_total,nombre_norm,PUESTO,DIRECCIÓN,lat,lon,COMUNA,tipo_match,pct_medellin_camilo,pct_zona_camilo,pct_medellin_carvalho,pct_zona_carvalho,pct_medellin_sanchez,pct_zona_sanchez,pct_medellin_nanclares,pct_zona_nanclares,pct_medellin_hoyos,pct_zona_hoyos,pct_medellin_creemos,pct_zona_creemos,pct_medellin_pacto,pct_zona_pacto,pct_medellin_cd,pct_zona_cd
13_7,MEDELLIN,13,7.0,IE JESUS REY,9,3,3,31,14,30,537,797,702,IE JESUS REY,IE JESUS REY,CRA 88 No 77A-11,6.2834112,-75.5919937,07COMUNA 7 ROBLEDO,exacto,0.1366,6.0811,0.1293,5.4101,0.1055,3.1915,0.0975,4.6154,0.09,7.1795,0.3239,8.7831,0.4707,11.022,0.235,8.2881
13_8,MEDELLIN,13,8.0,IE AURES,0,1,1,5,7,19,268,604,371,IE AURES,IE AURES,CRA 96A No 77E-15,6.2902077,-75.5965264,07COMUNA 7 ROBLEDO,exacto,0.0,0.0,0.0209,0.8726,0.0352,1.0638,0.0325,1.5385,0.045,3.5897,0.1616,4.3834,0.3567,8.3529,0.1242,4.3802
14_1,MEDELLIN,14,1.0,IE MON GERARDO VALENCIA CANO,18,20,19,85,27,30,578,602,923,IE MON GERARDO VALENCIA CANO,IE MON GERARDO VALENCIA CANO,CL 65 # 74 B - 273,6.2691099,-75.5877256,07COMUNA 7 ROBLEDO,exacto,0.2731,13.9535,0.3547,17.3824,0.7032,19.0476,0.6173,24.0506,0.1737,15.5172,0.3486,12.5081,0.3555,9.9176,0.309,13.5516
14_2,MEDELLIN,14,2.0,I.E. JORGE ROBLEDO,18,12,17,88,37,65,995,990,1801,I.E. JORGE ROBLEDO,I.E. JORGE ROBLEDO,CL 65 # 87-74,6.2768071,-75.5974006,07COMUNA 7 ROBLEDO,exacto,0.2731,13.9535,0.3672,17.9959,0.4219,11.4286,0.5523,21.519,0.238,21.2644,0.6002,21.5321,0.5846,16.3097,0.6029,26.4425
14_3,MEDELLIN,14,3.0,I.E.MARISCAL ROBLEDO,14,4,8,100,19,35,507,675,662,I.E.MARISCAL ROBLEDO,I.E.MARISCAL ROBLEDO,CALLE 65 # 84-87,6.2754017,-75.5958898,07COMUNA 7 ROBLEDO,exacto,0.2124,10.8527,0.4173,20.4499,0.1406,3.8095,0.2599,10.1266,0.1222,10.9195,0.3058,10.9717,0.3986,11.1203,0.2216,9.7196
14_4,MEDELLIN,14,4.0,SEC.ESC. SANTA MARGARITA,4,2,10,9,15,17,526,782,688,SEC.ESC. SANTA MARGARITA,SEC.ESC. SANTA MARGARITA,KR 105B # 62-68,6.2765446,-75.6159666,07COMUNA 7 ROBLEDO,exacto,0.0607,3.1008,0.0376,1.8405,0.0703,1.9048,0.3249,12.6582,0.0965,8.6207,0.3173,11.3828,0.4618,12.883,0.2303,10.1013
14_5,MEDELLIN,14,5.0,INSTITUTO FERRINI - SEDE ROBLEDO,38,26,9,104,37,60,1195,1567,1546,INSTITUTO FERRINI - SEDE ROBLEDO,,,6.277956,-75.592284,,,0.5766,29.4574,0.4339,21.2679,0.9142,24.7619,0.2924,11.3924,0.238,21.2644,0.7208,25.8602,0.9254,25.8155,0.5175,22.6986
14_6,MEDELLIN,14,6.0,I.E.CAMILO MORA CARRASQUILLA,6,7,3,19,9,12,270,411,377,I.E.CAMILO MORA CARRASQUILLA,I.E.CAMILO MORA CARRASQUILLA,CALLE 62D # 94B-74,6.2782545,-75.6062301,07COMUNA 7 ROBLEDO,exacto,0.091,4.6512,0.0793,3.8855,0.2461,6.6667,0.0975,3.7975,0.0579,5.1724,0.1629,5.8429,0.2427,6.771,0.1262,5.5352
14_7,MEDELLIN,14,7.0,COL MAYOR DE ANTIOQUIA,30,32,10,84,23,31,481,839,687,COL MAYOR DE ANTIOQUIA,COL MAYOR DE ANTIOQUIA,CRA 78 No 65-46,6.2732352,-75.5919642,07COMUNA 7 ROBLEDO,exacto,0.4552,23.2558,0.3505,17.1779,1.1252,30.4762,0.3249,12.6582,0.1479,13.2184,0.2901,10.409,0.4955,13.8221,0.23,10.0866
14_8,MEDELLIN,14,8.0,IE BARRIO OLAYA HERRERA,1,2,3,0,7,4,69,204,127,IE BARRIO OLAYA HERRERA,IE BARRIO OLAYA HERRERA,CRA 101C No 58-44,6.3009858,-75.5786012,07COMUNA 7 ROBLEDO,exacto,0.0152,0.7752,0.0,0.0,0.0703,1.9048,0.0975,3.7975,0.045,4.023,0.0416,1.4932,0.1205,3.3608,0.0425,1.8646
